Carne Bovina;1
Carne MoÌda;1
Frango;1
Carne SuÌ≠na;1
Amendoim;2
Batata Frita;2
Salgadinho;2
¡gua Mineral;3
Cerveja;3
Destilados;3
Refresco;3
Refrigeranes;3
Suco;3
Vinho;3
Cream Cracker;4
Leite/Maisena;4
Recheado;4
Wafer;4
Integral;4
AÁ˙car;5
Arroz;5
Farinha de Trigo;5
Farinha Mandioca/Milho;5
Feij„o;5
Fub·;5
Milho Pipoca;5
Sal;5
Camar„o;6
Empanados;6
Hamburguer;6
Kibe/Croquete;6
Legumes Congelados;6
Massas Prontas;6
P„o de Queijo;6
Pratos Prontos;6
Sorvete;6
Balas/Chicletes;7
Bombom;7
Chocolate;7
Coco Ralado;7
Doce de leite;7
Gelatina;7
GelÈia;7
Goiabada;7
Leite de CÙco;7
Mel;7
Mistura para Bolo;7
Atum;8
Azeitonas;8
Ervilha;8
Milho Verde;8
Palmito;8
Sardinha;8
Seleta;8
Ovo de codorna;8
Flores;9
Folhagens;9
Terra Vegetal;9
UtensÌlios para jardim;9
Bacon;10
Cortes de Frango;10
Frango Inteiro;10
Frios Fatiados;10
Iogurte;10
Leite;10
LinguiÁa;10
Manteiga;10
Margarina;10
Massa Pastel;10
Massa Pizza;10
Mortadela;10
Mussarela;10
Presunto;10
Queijo;10
Queijo Fresco;10
Queijo Ralado;10
Requeij„o;10
Salame;10
Salsicha;10
Abacaxi;11
AbÛbora;11
Abobrinha;11
Alface;11
Alho;11
Almeir„o;11
Banana;11
Batata;11
Berinjela;11
Beterraba;11
BrÛcolis;11
Cebola;11
Cenoura;11
Cheiro Verde;11
Chuchu;11
Couve Manteiga;11
Kiwi;11
Laranja;11
Lim„o;11
Mam„o;11
Maracuj·;11
Mel‚ncia;11
Ovos;11
Piment„o;11
Repolho;11
R˙cula;11
Tomate;11
Uva;11
Vagem;11
¡Ågua Sanit·ria;12
¡Ålcool;12
Amaciante;12
Desinfetante;12
Detergente;12
Esponja de AÁo;12
FÛsforo;12
Inseticida;12
Limpador Multiuso;12
Limpador Vidro;12
Lustra MÛveis;12
Removedor;12
Rodo/Vassoura;12
Sab„o em Barra;12
Sab„o em PÛ;12
Artigos de AlumÌ≠nio;13
Artigos de Pl·stico;13
Copos;13
Roupas;13
Talheres;13
Toalha Banho;13
Toalha Rosto;13
Macarr„o;14
Sopas Prontas;14
Achocolatado;15
AdoÁante;15
Amido de Milho;15
CafÈ;15
Ch·;15
Creme de Leite;15
Fermento em PÛ;15
Leite Condensado;15
Leite de CÙco;15
Azeite;16
Caldos;16
Catchup;16
Extrato de Tomate;16
Maionese;16
Molho Tomate;16
Mostarda;16
√ìleo Soja/Milho;16
OrÈgano;16
Pimenta;16
Polpa de Tomate;16
Tempero Pronto;16
Baghete;17
Bolos;17
Doces;17
P„o de Forma;17
P„o Doce;17
P„o FrancÍs;17
Salgados;17
Torradas;17
Bacalhau;18
Camar„o;18
FilÈ de peixe;18
Peixes;18
Postas;18
Absorvente;19
Algod„o;19
Anti-SÈptico Bucal;19
Aparelho de Barbear;19
Condicionador;19
Creme de Barbear;19
Creme Dental;19
Desodorante;19
Escova Dental;19
Fio Dental;19
Palinetes;19
Papel HigiÍnico;19
Sabonete;19
Shampoo;19
Talco;19
RaÁ„o C„es;20
RaÁ„o Gatos;20
ElÈtricos;21
Esponja;21
Ferramentas;21
Filtro de papel;21
Guardanapo;21
L‚mpada;21
Palito de Dente;21
Pano de Limpeza;21
Papel Alum≠nio;21
Pilha;21
Saco para Lixo;21
Toalha de Papel;21
Vela;21
